Text_Clean,Latitude,Longitude,Country,coordinates,city
im at london  lhr in hounslow london ,51.46971536,-0.45988083,GB,"[51.46971536, -0.45988083]",Greater London
when in scotland  at macdonald portal hotel golf  amp  spa in cheshire england  ,53.16171309,-2.65401399,GB,"[53.16171309, -2.65401399]",Cheshire West and Chester
first and last ever trip to the boleyn ground last night  boleynground at boleyn ground upton  ,51.531752,0.03881361,GB,"[51.531752, 0.03881361]",Greater London
check out   at hilton london metropole hotel    in london greater london ,51.5195707,-0.17014214,GB,"[51.5195707, -0.17014214]",Greater London
 hellostorm at storm id in edinburgh ,55.97502291,-3.16669106,GB,"[55.97502291, -3.16669106]",Edinburgh
ordering blood culture bottles  the unit not me          at pathology and pharmacy in poplar england ,51.51733157,-0.05877813,GB,"[51.51733157, -0.05877813]",Greater London
throw back to  years ago when i had an amazing day with  round london    london  ,51.50954,-0.12758,GB,"[51.50954, -0.12758]",Greater London
" whats on at pub on the shrubs this week 

  open all day every day  a proper pub    ",52.5797869,1.7108061999999995,GB,"[52.5797869, 1.7108061999999995]",Norfolk
 jokes he cant say where he stands on  brexit just that he likes working together  but asks how many ppl know their mep,51.51520864,-0.11785527,GB,"[51.51520864, -0.11785527]",Greater London
only mins late at griffin brewery    in chiswick greater london ,51.48710197,-0.25101185,GB,"[51.48710197, -0.25101185]",Greater London
  bst  temperature    c wind  s  mph ave  mph gust humidity    rain hourly   mm pressure   hpa rising slowly,51.676323,-3.542993,GB,"[51.676323, -3.542993]",Rhondda Cynon Taff
forever making dog friends on public transport     oldman  pug  puglife  littledog  snortyface  ,55.830433,-4.267759,GB,"[55.830433, -4.267759]",Glasgow City
a great hap repost from the lovely  busy with our mini skeins  the colours she has  ,51.21193785,-0.90937614,GB,"[51.21193785, -0.90937614]",Hampshire
im at sheffield    in sheffield south yorkshire ,53.38107575,-1.46976471,GB,"[53.38107575, -1.46976471]",South Yorkshire
 did you send me this  i came in this morning and it was on my desk and no one has owned up to it  ,54.04977167,-2.8039650000000003,GB,"[54.04977167, -2.8039650000000003]",Lancashire
fade into you by mazzy star is  nowplaying in waves bar cleethorpes   download it now at ,53.56066912,-0.02781446,GB,"[53.56066912, -0.02781446]",North East Lincolnshire
 does the winner of the playoffs get a place in the champions league owen,53.23643178,-1.45741254,GB,"[53.23643178, -1.45741254]",Derbyshire
unfortunately couldnt capture our scrumptious cinnamon porridge in this photo         ,51.51828958,-0.14027179,GB,"[51.51828958, -0.14027179]",Greater London
 you cant defend players that blatantly cheat  its a disgrace  good role models,50.34781333,-4.77539,GB,"[50.34781333, -4.77539]",Cornwall
" breakfast with 
i always love this place in the morning    ",51.4904684,-0.14476589999999998,GB,"[51.4904684, -0.14476589999999998]",Greater London
smashing start to the day at stewarton ,55.6667,-4.5,GB,"[55.6667, -4.5]",East Ayrshire Council
waiting for the queen  vsco  prestigestockphoto  prestigepictures  canonphotos  thequeen  ,51.48278469,-0.6063288,GB,"[51.48278469, -0.6063288]",Windsor and Maidenhead
  gmevv p david on gm ss  eildon mid hill m pt   cw  strong gl   sprhp ,55.5823,-2.7186,GB,"[55.5823, -2.7186]",Scottish Borders
great piece in the local paper on music nostalgia for   record store day   rsd  ,50.2624,-5.0502699999999985,GB,"[50.2624, -5.0502699999999985]",Cornwall
this jacket used to be tight  fitness  weightloss ,54.68699300000001,-3.46929,GB,"[54.68699300000001, -3.46929]",Cumbria
online easter eggs  finding and making hidden gems online   ,54.0633,-2.88424,GB,"[54.0633, -2.88424]",Lancashire
great gig last night  nothingbutthieves  uea  livemusic  livemusicphotography  rock  music  love  ,52.62151671,1.24164499,GB,"[52.62151671, 1.24164499]",Norfolk
first time at  canarywharf  its a futuristic slightly scary ant filled world  weird to think  ,51.50463988,-0.01955487,GB,"[51.50463988, -0.01955487]",Greater London
  bst  temperature    c wind  s  mph ave  mph gust humidity    rain hourly   mm pressure   hpa steady,51.676323,-3.542993,GB,"[51.676323, -3.542993]",Rhondda Cynon Taff
everyones just kinda winging life tho tbh,55.62624812,-4.50885655,GB,"[55.62624812, -4.50885655]",East Ayrshire Council
hammer attack victim has  life changing  injuries   hampshire ,51.23714096,-0.74681383,GB,"[51.23714096, -0.74681383]",Hampshire
this  pharmaceutical  job might be a great fit for you  vaccines key account manager   south london     hiring,51.4309209,-0.0936496,GB,"[51.4309209, -0.0936496]",Greater London
all blue vintage thursday  at  vintageusa  stgeorgesmarket  all available to buy message for  ,54.59620386,-5.92512304,GB,"[54.59620386, -5.92512304]",Belfast
off to wales where my reception is poor and there may not be wifi  i may be some time in atweeting,55.03313129,-1.4712042,GB,"[55.03313129, -1.4712042]",Tyne and Wear
 homemade  cherry pies almost ready    shoplocal  e  woodstreet at the old station yard cafe ,51.5854879,-0.0018954,GB,"[51.5854879, -0.0018954]",Greater London
saras been knocking out some flapjack   tastes pretty good too at the white mare ,54.44622372,-3.51332095,GB,"[54.44622372, -3.51332095]",Cumbria
incident moderate delay a   now clear   southbound   nantgarw to coryton   severity  moderate de      beepbeep,51.55951295,-3.26915679,GB,"[51.55951295, -3.26915679]",Rhondda Cynon Taff
why dont eurosport employ  at the crucible the greatest ever commentator should be heard on an event this important ,52.4500505,-1.9468043,GB,"[52.4500505, -1.9468043]",West Midlands
dont be too surprised if arsenal dont win tonight,51.7700488,0.0906904,GB,"[51.7700488, 0.0906904]",Essex
 happy st birthday mate have a good one  ,53.48312094,-2.33509144,GB,"[53.48312094, -2.33509144]",Greater Manchester
albion goal rush is thrilling hughton   sussex ,50.82312245,-0.13742298,GB,"[50.82312245, -0.13742298]",Brighton and Hove
waiting for the queen  vsco  prestigestockphoto  prestigepictures  canonphotos  thequeen  ,51.48278469,-0.6063288,GB,"[51.48278469, -0.6063288]",Windsor and Maidenhead
closer look at  davidmach  golgotha piece at  chestercathedral made out of coat hangers  ,53.19172733,-2.89111121,GB,"[53.19172733, -2.89111121]",Cheshire West and Chester
im at  in cheltenham ,51.90765447,-2.08699752,GB,"[51.90765447, -2.08699752]",Gloucestershire
were  hiring read about our latest  job opening here  mini bus driver     cardiff cyncoed  transportation,51.5169636,-3.1702824,GB,"[51.5169636, -3.1702824]",Cardiff
aldi sets sights on chickerell in weymouth   kent ,51.33021256,1.41494522,GB,"[51.33021256, 1.41494522]",Kent
"personal training with me simon ducker 

when i train my clients theres no better feeling in  ",52.23338251,-0.90534955,GB,"[52.23338251, -0.90534955]",Northamptonshire
just in a sneaky look at a few  hand stitched  kantha  quilts  holycowhome at holy cow home ,51.817263,-0.8124427,GB,"[51.817263, -0.8124427]",Buckinghamshire
  bst  temperature    c wind  s  mph ave  mph gust humidity    rain hourly   mm pressure   hpa rising slowly,51.676323,-3.542993,GB,"[51.676323, -3.542993]",Rhondda Cynon Taff
as the days pass by i get closer to this test n no closer to looking over notes i reckon by tuesday al have fucked it n need to wing it,55.62624812,-4.50885655,GB,"[55.62624812, -4.50885655]",East Ayrshire Council
all the wrong places by example is  nowplaying in anytime fitness bury bury   download it now at ,53.59240359,-2.29538417,GB,"[53.59240359, -2.29538417]",Greater Manchester
beautiful flowers thanks loveswsm smells awesome next to my  breakfast which is seriously good  ,51.3475864,-2.9776469,GB,"[51.3475864, -2.9776469]",North Somerset
day  at bpp university shepherd bush ,51.50536413,-0.22326218,GB,"[51.50536413, -0.22326218]",Greater London
 i heard you were moving to sheffield england  i got all excited thinking id be sharing a city with you lol  jimintheuk,53.43106077,-1.45260419,GB,"[53.43106077, -1.45260419]",South Yorkshire
lovely little start to my day off walk in the sunshine to school with my jamesy then a session  ,53.42393000000001,-2.95519,GB,"[53.42393000000001, -2.95519]",Merseyside
love a good polaroid with my beautiful couples this was taken on easter monday with the lovely  ,51.442098,-2.102834,GB,"[51.442098, -2.102834]",Wiltshire
